availability,condition,image,item_number,price,product,retail_price,warranty
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-milgauss-116400-84.jpg,116400-WHTSDO,"$7,275.00",Rolex Milgauss 116400,"$7,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale (+250),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80318-33.jpg,80318-WHTRP,"$27,135.00",Rolex Pearlmaster 80318,"$30,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80298-34.jpg,80298-MOPDDP,"$42,705.00",Rolex Pearlmaster 80298,"$47,450.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80319-66.jpg,80319-MOP,"$30,595.00",Rolex Pearlmaster 80319,"$34,000.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-datejust-116234-2078.jpg,116234-BMOPDJ,"$10,195.00",Rolex Datejust 36 Women's Pearl Watch 116234,"$12,750.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-datejust-36mm-steel-116244-1280.jpg,116244-BLURJ,"$11,250.00",Rolex Datejust 36 Women's Diamond Watch 116244,"$14,800.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-lady-datejust-steel-179384-259.jpg,179384-MOPDJ,"$12,950.00",Rolex Lady-Datejust 26 Pearl Women's Watch 179384,"$17,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,New - Never Worn,https://s.yimg.com/aah/movadobaby/rolex-yacht-master-37-268655-57.jpg,268655,"$18,950.00",Rolex Yacht-Master 37 268655,"$22,000.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-26-179160-533.jpg,179160-WHTRO,"$4,975.00",Rolex Lady-Datejust 26 White Dial Women's Watch 179160,"$6,100.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
IN STOCK,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-datejust-lady-steel-179160-430.jpg,179160-SLVRO,"$5,175.00",Rolex Lady-Datejust 26 Silver Dial Women's Watch 179160,"$6,100.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
