availability,condition,image,item_number,price,product,retail_price,warranty
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-368.jpg,279165-DIARJ,"$46,170.00",Rolex Lady-Datejust 28 279165,"$51,300.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-348.jpg,279165-WHTRJ,"$23,085.00",Rolex Lady-Datejust 28 279165,"$25,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-334.jpg,279165-PURDJ,"$24,840.00",Rolex Lady-Datejust 28 279165,"$27,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-320.jpg,279165-PURDP,"$25,830.00",Rolex Lady-Datejust 28 279165,"$28,700.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-306.jpg,279165-MOPDJ,"$26,640.00",Rolex Lady-Datejust 28 279165,"$29,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-292.jpg,279165-MOPDP,"$27,630.00",Rolex Lady-Datejust 28 279165,"$30,700.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-278.jpg,279165-CHODJ,"$24,840.00",Rolex Lady-Datejust 28 279165,"$27,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-264.jpg,279165-CHODP,"$25,830.00",Rolex Lady-Datejust 28 279165,"$28,700.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-250.jpg,279165-CHORP,"$24,075.00",Rolex Lady-Datejust 28 279165,"$26,750.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-236.jpg,279165-GRNDJ,"$24,840.00",Rolex Lady-Datejust 28 279165,"$27,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
